"Story","Title","Result","Date","Stability","Duration (s)"
"user on register page","User input valid data","SUCCESS","2022-07-18T09:41:23.1879547+07:00[Asia/Bangkok]","0.0","30.78"
"user on register page","user input email tanpa menggunakan '@'","SUCCESS","2022-07-18T09:41:55.152196+07:00[Asia/Bangkok]","0.0","16.39"
"user on register page","user tidak memasukkan email","SUCCESS","2022-07-18T09:42:12.6544443+07:00[Asia/Bangkok]","0.0","15.3"
"user on register page","user tidak memasukan nama depan","SUCCESS","2022-07-18T09:42:29.006978+07:00[Asia/Bangkok]","0.0","16.48"
"user on register page","user tidak memasukkan password","SUCCESS","2022-07-18T09:42:46.6461349+07:00[Asia/Bangkok]","0.0","14.54"
"user on register page","user tidak memasukkan nama belakang","SUCCESS","2022-07-18T09:43:03.6337489+07:00[Asia/Bangkok]","0.0","15.96"
"user on register page","user tidak memasukkan jenis kelamin","SUCCESS","2022-07-18T09:43:20.8762838+07:00[Asia/Bangkok]","0.0","16.91"
"user on register page","user tidak mengisi confirm password","SUCCESS","2022-07-18T09:43:38.968674+07:00[Asia/Bangkok]","0.0","16.7"
